id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,copula,singular,plural,question,negative,lexical_affixes,syntactical_affixes
634,kel/kuyla,(a)yotganlaringizda,"",VERB,Present,2,,Locative,,,,Participle,,,,1,,,(a)yotgan lar,ingiz da
637,kel/kuyla,(a)yotganlaringizdan,"",VERB,Present,2,,Ablative,,,,Participle,,,,1,,,(a)yotgan lar,ingiz dan
636,kel/kuyla,(a)yotganlaringizni,"",VERB,Present,2,,Accusative,,,,Participle,,,,1,,,(a)yotgan lar,ingiz ni
639,kel/kuyla,(a)yotganlaringni,"",VERB,Present,2,,Accusative,,,,Participle,,,,1,,,(a)yotgan lar,ing ni
256,qo`n/uxla,(a)yotganligi,"qo`n{ayotganligi} tasvirga olindi",VERB,,,,,,,,,,,,,,,,
258,qo`n/uxla,(a)yotganligidan,"qo`n{ayotganligidan} xavotirda edi",VERB,,,,,,,,,,,,,,,,
257,qo`n/uxla,(a)yotganligini,"qo`n{ayotganligini} bilib qolishdi",VERB,Present,3,,Accusative,,,,Participle,,,,,,,(a)yotgan lik,i ni
112,kel/kuyla,(a)yotganmi,"",VERB,Present,3,,,,,,Participle,,,,,1,,(a)yotgan mi,
113,kel/kuyla,(a)yotganmidi,"",VERB,Present,3,,,,,,Participle,Message,,,,1,,(a)yotgan mi,di
1216,uxla/ket,(a)yotganni,"",VERB,Present,3,,Accusative,,,,Participle,,,,,,,(a)yotgan,ni
71,bor/kuyla,(a)yotib,"Qoida: (a) qirqilmaydigan xolatdagi suzlarni kiritib shularni istisno qilish kerak yoki biron qoida topish kerak a ni qirqmasligi uchun",VERB,Present,3,,,,,,Participle,,,,,,,(a)yotib,
70,bor/kuyla/uxla,(a)yotir,"Qoida: (a) qirqilmaydigan xolatdagi suzlarni kiritib shularni istisno qilish kerak yoki biron qoida topish kerak a ni qirqmasligi uchun",VERB,Present,3,,,,,,Participle,,,,,,,(a)yotir,
213,ayt/kuyla,(i)b,"aytib/ kuylab/ (sakra{b}/ yugur{ib}) Qoida: undoshdan sung {ib}/ unlidan sung {b} keladi.",VERB,,,,,,,,,,,,,,,,
447,yugur/uxla/ek/chiq,(i)bdi,"",VERB,Past,3,,,,,,Adverbial,Message,,,,,,(i)b,di
449,yugur/uxla/ek/chiq,(i)bdilar,"",VERB,Past,3,,,,,,Adverbial,,,,1,,,(i)b,di lar
450,yugur/uxla/ek/chiq,(i)bdilarmi,"",VERB,Past,3,,,,,,Adverbial,,,,1,1,,(i)b mi,di lar
448,yugur/uxla/ek/chiq,(i)bdimi,"",VERB,Past,3,,,,,,Adverbial,,,,,1,,(i)b mi,di
444,yugur/uxla/ek/chiq,(i)bgina,"Qoida: qushimchadagi b harfidan oldin i dan farqli unli kelsa/ bu asosga tegishli buladi",VERB,Past,3,,,,,,Adverbial,,,,,,,(i)b gina,-
1637,tur/gapla,(i)bman,"",VERB,,,,,,,,,,,,,,,,
1638,tur/gapla,(i)bmiz,"",VERB,Present,,,,,,,,,,,,,,,
1640,tur/gapla,(i)bsan,"",VERB,Present,,,,,,,,,,,,,,,
1639,tur/gapla,(i)bsiz,"",VERB,Present,,,,,,,,,,,,,,,
710,qo`sh/ayir/ajra,(i)l,"fel nisbati/ ayir+il=ayril",VERB,Past,3,,,,,,Finite,,,,,,,(i)l,-
1584,de/ayt/ajra,(i)ladi,"dey+iladi bunda -y xarf ortishi mavjud",VERB,Future,3,,,,,,Finite,Message,,,,,,(i)l,adi
1636,ajra/surt,(i)ladigan,"",VERB,Future,3,,,,,,,,,,,,,,
1585,ajra,(i)layotgan,"",VERB,Present,3,,,,,,Participle,,,,,,,(i)layotgan,-
864,ayt/so`ra,(i)ldi,"",VERB,Past,3,,,,,,Finite,Message,,,,,,(i)l,di
828,ko`r/tara,(i)lgan,"",VERB,Past,3,,,,,,Participle,,,,,,,(i)l,gan
1125,tush/shosh,(i)lgancha,"Orttirma nisbat",VERB,Past,3,,,,,,Adverbial,,,,,,,(i)l gancha,-
867,ayt/so`ra,(i)lgandi,"",VERB,Past,3,,,,,,Participle,Message,,,,,,(i)l gan,di
869,ayt/so`ra,(i)lgandim,"",VERB,Past,1,,,,,,Participle,,,,,,,(i)l gan,di m
868,ayt/so`ra,(i)lganding,"",VERB,Past,2,,,,,,Participle,,,,,,,(i)l gan,di ng
829,ko`r/tara,(i)lgani,"",VERB,Past,3,,,,,,Participle,,,,,,,(i)l gan,i
1144,tush/shosh,(i)lganicha,"Orttirma nisbat",VERB,Past,3,,,,,,Participle,,,,,,,(i)l ganicha,-
831,ko`r/tara,(i)lganida,"",VERB,Past,3,,Locative,,,,Participle,,,,,,,(i)l gan,i da
830,ko`r/tara,(i)lganidan,"",VERB,Past,3,,Ablative,,,,Participle,,,,,,,(i)l gan,i dan
832,ko`r/tara,(i)lganiga,"",VERB,Past,3,,Dative,,,,Participle,,,,,,,(i)l gan,i ga
834,ko`r/tara,(i)lganim,"",VERB,Past,1,,,,,,Participle,,,,,,,(i)l gan,im
835,ko`r/tara,(i)lganimda,"",VERB,Past,1,,Locative,,,,Participle,,,,,,,(i)l gan,im da
836,ko`r/tara,(i)lganimdan,"",VERB,Past,1,,Ablative,,,,Participle,,,,,,,(i)l gan,im dan
840,ko`r/tara,(i)lganimiz,"",VERB,Past,1,,,,,,Participle,,,,,,,(i)l gan,imiz
842,ko`r/tara,(i)lganimizda,"",VERB,Past,1,,Locative,,,,Participle,,,,,,,(i)l gan,imiz da
843,ko`r/tara,(i)lganimizdan,"",VERB,Past,1,,Ablative,,,,Participle,,,,,,,(i)l gan,imiz dan
841,ko`r/tara,(i)lganimizga,"",VERB,Past,1,,Dative,,,,Participle,,,,,,,(i)l gan,imiz ga
